Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
5,1.0,1000,163,837,241,14,2899,5279,8178,1.906,2,0,0,0,0,0
5,1.0,1000,181,819,287,22,3057,5131,8188,1.794,2,0,0,0,0,1
5,1.0,1000,230,770,262,29,3245,5006,8251,1.369,2,0,0,0,1,0
5,1.0,1000,295,705,282,40,3549,4796,8345,1.14,2,0,0,0,1,1
5,1.0,1000,221,779,224,16,3185,5126,8311,1.748,2,0,0,1,0,0
5,1.0,1000,255,745,290,18,3368,4946,8314,1.541,2,0,0,1,0,1
5,1.0,1000,379,621,251,29,3720,4584,8304,1.191,2,0,0,1,1,0
5,1.0,1000,440,560,241,28,3926,4427,8353,0.958,2,0,0,1,1,1
5,1.0,1000,84,916,177,12,2503,5549,8052,2.334,2,0,1,0,0,0
5,1.0,1000,151,849,260,11,2743,5210,7953,2.075,2,0,1,0,0,1
5,1.0,1000,195,805,227,17,3057,5147,8204,1.76,2,0,1,0,1,0
5,1.0,1000,279,721,279,34,3405,4826,8231,1.4,2,0,1,0,1,1
5,1.0,1000,129,871,186,10,2691,5425,8116,2.145,2,0,1,1,0,0
5,1.0,1000,173,827,291,16,2913,5132,8045,2.001,2,0,1,1,0,1
5,1.0,1000,286,714,236,21,3383,4832,8215,1.436,2,0,1,1,1,0
5,1.0,1000,373,627,272,27,3685,4515,8200,1.159,2,0,1,1,1,1
5,1.0,1000,97,903,181,17,2689,5546,8235,2.14,2,1,0,0,0,0
5,1.0,1000,116,884,233,18,2773,5402,8175,1.889,2,1,0,0,0,1
5,1.0,1000,204,796,249,19,3184,5134,8318,1.604,2,1,0,0,1,0
5,1.0,1000,236,764,255,30,3244,5069,8313,1.308,2,1,0,0,1,1
5,1.0,1000,221,779,230,13,3206,5124,8330,1.746,2,1,0,1,0,0
5,1.0,1000,287,713,258,24,3466,4928,8394,1.359,2,1,0,1,0,1
5,1.0,1000,444,556,220,20,3870,4344,8214,1.108,2,1,0,1,1,0
5,1.0,1000,494,506,218,28,4033,4254,8287,0.872,2,1,0,1,1,1
5,1.0,1000,61,939,168,6,2348,5672,8020,2.521,2,1,1,0,0,0
5,1.0,1000,70,930,197,8,2379,5580,7959,2.208,2,1,1,0,0,1
5,1.0,1000,161,839,236,13,2877,5260,8137,1.769,2,1,1,0,1,0
5,1.0,1000,191,809,247,33,2927,5168,8095,1.503,2,1,1,0,1,1
5,1.0,1000,144,856,179,7,2748,5402,8150,2.28,2,1,1,1,0,0
5,1.0,1000,185,815,191,9,3041,5330,8371,2.004,2,1,1,1,0,1
5,1.0,1000,373,627,209,13,3595,4576,8171,1.301,2,1,1,1,1,0
5,1.0,1000,421,579,240,22,3778,4399,8177,1.123,2,1,1,1,1,1
6,1.0,1000,570,430,228,52,3904,3978,7882,0.789,0,0,0,0,0,0
6,1.0,1000,636,364,200,39,4148,3754,7902,0.682,0,0,0,0,0,1
6,1.0,1000,614,386,207,36,4189,3837,8026,0.501,0,0,0,0,1,0
6,1.0,1000,708,292,153,34,4443,3585,8028,0.416,0,0,0,0,1,1
6,1.0,1000,571,429,251,41,4039,3974,8013,0.717,0,0,0,1,0,0
6,1.0,1000,648,352,204,38,4179,3695,7874,0.617,0,0,0,1,0,1
6,1.0,1000,685,315,191,38,4384,3508,7892,0.417,0,0,0,1,1,0
6,1.0,1000,756,244,158,34,4558,3285,7843,0.287,0,0,0,1,1,1
6,1.0,1000,472,528,252,32,3503,4195,7698,1.003,0,0,1,0,0,0
6,1.0,1000,539,461,217,23,3787,3969,7756,0.987,0,0,1,0,0,1
6,1.0,1000,600,400,206,46,4067,3882,7949,0.523,0,0,1,0,1,0
6,1.0,1000,658,342,177,46,4260,3716,7976,0.453,0,0,1,0,1,1
6,1.0,1000,509,491,222,30,3685,4101,7786,0.974,0,0,1,1,0,0
6,1.0,1000,595,405,222,35,3895,3840,7735,0.838,0,0,1,1,0,1
6,1.0,1000,638,362,217,29,4201,3616,7817,0.476,0,0,1,1,1,0
6,1.0,1000,718,282,175,33,4422,3460,7882,0.425,0,0,1,1,1,1
6,1.0,1000,359,641,329,62,3467,4623,8090,0.803,0,1,0,0,0,0
6,1.0,1000,400,600,284,54,3702,4501,8203,0.647,0,1,0,0,0,1
6,1.0,1000,484,516,286,53,3968,4217,8185,0.52,0,1,0,0,1,0
6,1.0,1000,548,452,258,63,4106,4049,8155,0.464,0,1,0,0,1,1
6,1.0,1000,514,486,278,50,3978,4149,8127,0.603,0,1,0,1,0,0
6,1.0,1000,612,388,227,50,4211,3878,8089,0.431,0,1,0,1,0,1
6,1.0,1000,673,327,212,50,4351,3459,7810,0.294,0,1,0,1,1,0
6,1.0,1000,751,249,168,38,4552,3347,7899,0.211,0,1,0,1,1,1
6,1.0,1000,304,696,284,43,3175,4791,7966,1.004,0,1,1,0,0,0
6,1.0,1000,353,647,284,46,3285,4611,7896,0.853,0,1,1,0,0,1
6,1.0,1000,456,544,297,43,3808,4245,8053,0.617,0,1,1,0,1,0
6,1.0,1000,476,524,249,62,3849,4265,8114,0.533,0,1,1,0,1,1
6,1.0,1000,412,588,255,58,3597,4445,8042,0.944,0,1,1,1,0,0
6,1.0,1000,496,504,247,49,3844,4225,8069,0.753,0,1,1,1,0,1
6,1.0,1000,612,388,240,50,4182,3669,7851,0.373,0,1,1,1,1,0
6,1.0,1000,680,320,170,52,4378,3530,7908,0.339,0,1,1,1,1,1
6,1.0,1000,530,470,236,44,3868,4039,7907,0.829,1,0,0,0,0,0
6,1.0,1000,642,358,198,36,4169,3776,7945,0.608,1,0,0,0,0,1
6,1.0,1000,615,385,223,43,4190,3843,8033,0.468,1,0,0,0,1,0
6,1.0,1000,713,287,166,45,4415,3560,7975,0.356,1,0,0,0,1,1
