Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
5,1.0,1000,141,859,233,14,2858,5340,8198,1.941,2,0,0,0,0,0
5,1.0,1000,172,828,301,25,3053,5183,8236,1.772,2,0,0,0,0,1
5,1.0,1000,239,761,265,33,3295,5000,8295,1.399,2,0,0,0,1,0
5,1.0,1000,337,663,253,44,3609,4739,8348,1.175,2,0,0,0,1,1
5,1.0,1000,211,789,232,17,3123,5165,8288,1.824,2,0,0,1,0,0
5,1.0,1000,242,758,286,25,3259,4942,8201,1.555,2,0,0,1,0,1
5,1.0,1000,376,624,233,19,3729,4592,8321,1.12,2,0,0,1,1,0
5,1.0,1000,431,569,255,27,3929,4366,8295,0.991,2,0,0,1,1,1
5,1.0,1000,108,892,195,10,2535,5467,8002,2.302,2,0,1,0,0,0
5,1.0,1000,120,880,254,8,2697,5286,7983,2.097,2,0,1,0,0,1
5,1.0,1000,228,772,226,26,3065,5045,8110,1.564,2,0,1,0,1,0
5,1.0,1000,265,735,266,34,3386,4885,8271,1.37,2,0,1,0,1,1
5,1.0,1000,153,847,197,7,2728,5355,8083,2.182,2,0,1,1,0,0
5,1.0,1000,167,833,271,14,2805,5172,7977,2.024,2,0,1,1,0,1
5,1.0,1000,301,699,246,30,3361,4833,8194,1.408,2,0,1,1,1,0
5,1.0,1000,368,632,270,20,3692,4522,8214,1.182,2,0,1,1,1,1
5,1.0,1000,98,902,217,12,2702,5485,8187,2.036,2,1,0,0,0,0
5,1.0,1000,115,885,230,21,2766,5426,8192,1.824,2,1,0,0,0,1
5,1.0,1000,191,809,237,22,3134,5190,8324,1.608,2,1,0,0,1,0
5,1.0,1000,223,777,256,26,3280,5053,8333,1.313,2,1,0,0,1,1
5,1.0,1000,211,789,250,9,3183,5133,8316,1.749,2,1,0,1,0,0
5,1.0,1000,286,714,267,24,3463,4920,8383,1.386,2,1,0,1,0,1
5,1.0,1000,457,543,214,13,3877,4317,8194,1.062,2,1,0,1,1,0
5,1.0,1000,480,520,227,35,3992,4231,8223,0.922,2,1,0,1,1,1
5,1.0,1000,70,930,167,6,2388,5634,8022,2.441,2,1,1,0,0,0
5,1.0,1000,59,941,180,3,2249,5627,7876,2.348,2,1,1,0,0,1
5,1.0,1000,166,834,205,18,2969,5330,8299,1.832,2,1,1,0,1,0
5,1.0,1000,198,802,238,35,2951,5155,8106,1.54,2,1,1,0,1,1
5,1.0,1000,154,846,189,8,2791,5384,8175,2.095,2,1,1,1,0,0
5,1.0,1000,196,804,200,26,3006,5269,8275,1.986,2,1,1,1,0,1
5,1.0,1000,348,652,232,12,3525,4588,8113,1.376,2,1,1,1,1,0
5,1.0,1000,448,552,216,22,3847,4349,8196,1.108,2,1,1,1,1,1
6,1.0,1000,530,470,240,42,3833,4017,7850,0.849,0,0,0,0,0,0
6,1.0,1000,595,405,210,43,4087,3819,7906,0.744,0,0,0,0,0,1
6,1.0,1000,622,378,239,53,4189,3791,7980,0.504,0,0,0,0,1,0
6,1.0,1000,733,267,153,49,4465,3545,8010,0.406,0,0,0,0,1,1
6,1.0,1000,555,445,258,39,3979,3954,7933,0.687,0,0,0,1,0,0
6,1.0,1000,674,326,193,38,4259,3735,7994,0.626,0,0,0,1,0,1
6,1.0,1000,710,290,185,43,4412,3496,7908,0.3,0,0,0,1,1,0
6,1.0,1000,791,209,143,39,4612,3263,7875,0.269,0,0,0,1,1,1
6,1.0,1000,506,494,236,45,3584,4105,7689,1.07,0,0,1,0,0,0
6,1.0,1000,586,414,188,25,3919,3893,7812,0.923,0,0,1,0,0,1
6,1.0,1000,573,427,229,50,3996,3883,7879,0.606,0,0,1,0,1,0
6,1.0,1000,652,348,166,43,4247,3744,7991,0.54,0,0,1,0,1,1
